Time,RadioId,TagId,TagRSSI,NodeId,Validated,Time.format,Time.local
2023-09-30 00:40:52,2,4B4C4B2A,-117,37930f,0,2023-09-30T00:40:52Z,2023-09-30T00:40:52Z
2023-09-30 00:40:52,1,4B4C4B2A,-117,37930f,0,2023-09-30T00:40:52Z,2023-09-30T00:40:52Z
